Localização;CodProduto;Data;Quantidade;Vendendor;idCliente
Algeria;P016;04/01/2021;164;3;40
Germany;P015;04/01/2021;191;7;80
Saudi Arabia;P002;04/01/2021;200;10;31
Ecuador;P050;04/01/2021;495;1;66
Mexico;P049;04/01/2021;159;9;64
Argentina;P001;04/01/2021;236;8;25
Indonesia;P031;04/01/2021;390;1;31
Libya;P038;04/01/2021;157;8;44
Ukraine;P013;04/01/2021;282;5;47
France;P012;04/01/2021;524;5;41
Malaysia;P026;04/01/2021;104;4;67
Thailand;P047;04/01/2021;462;3;30
Brazil;P046;04/01/2021;193;9;93
Fiji;P029;04/01/2021;139;3;100
Russia;P028;04/01/2021;453;9;57
New Zealand;P026;04/01/2021;173;5;48
Ecuador;P010;04/01/2021;183;4;30
Mexico;P009;04/01/2021;456;1;37
Yemen;P001;04/01/2021;119;2;62
United Kingdom;P044;04/01/2021;166;8;9
Turkey;P005;04/01/2021;166;3;6
Honduras;P026;04/01/2021;145;6;36
Italy;P025;04/01/2021;307;8;61
Bolivia;P006;04/01/2021;293;4;52
Thailand;P007;04/01/2021;270;6;52
Brazil;P006;04/01/2021;146;5;95
Chile;P042;04/01/2021;219;3;18
Spain;P041;04/01/2021;280;4;76
Poland;P020;04/01/2021;162;4;99
Paraguay;P023;04/01/2021;182;5;86
Canada;P022;04/01/2021;519;7;94
Uruguay;P005;04/01/2021;399;8;34
United Kingdom;P004;04/01/2021;76;1;79
Venezuela;P042;04/01/2021;195;6;42
Iraq;P039;04/01/2021;228;7;27
Japan;P038;04/01/2021;78;6;17
Mongolia;P019;04/01/2021;122;7;50
Pakistan;P020;04/01/2021;333;5;63
Nepal;P028;04/01/2021;265;6;51
Chile;P002;04/01/2021;298;7;24
Brazil;P005;05/01/2021;362;2;67
Argentina;P040;05/01/2021;50;10;3
Spain;P040;05/01/2021;234;5;23
Fiji;P042;05/01/2021;299;6;79
Yemen;P011;05/01/2021;546;2;39
Canada;P021;05/01/2021;573;7;30
Nepal;P025;05/01/2021;540;2;56
United Kingdom;P003;05/01/2021;431;9;52
Venezuela;P041;05/01/2021;472;4;23
Iraq;P038;05/01/2021;412;2;3
Japan;P037;05/01/2021;315;2;79
Mongolia;P018;05/01/2021;329;3;94
Pakistan;P019;05/01/2021;322;7;89
Nepal;P027;05/01/2021;100;8;92
Chile;P001;05/01/2021;121;9;39
France;P053;05/01/2021;575;4;73
South Africa;P014;05/01/2021;95;2;43
Peru;P035;05/01/2021;313;3;98
USA;P034;05/01/2021;410;3;54
Algeria;P017;05/01/2021;238;10;86
Germany;P016;05/01/2021;417;5;45
Saudi Arabia;P003;05/01/2021;412;3;43
Ecuador;P051;05/01/2021;99;7;45
Mexico;P050;05/01/2021;476;7;27
Argentina;P002;05/01/2021;150;9;57
Indonesia;P032;05/01/2021;300;4;6
Libya;P039;05/01/2021;87;3;45
Ukraine;P014;05/01/2021;187;7;41
France;P013;05/01/2021;483;6;93
Malaysia;P027;05/01/2021;467;3;48
Thailand;P048;05/01/2021;429;3;82
Brazil;P047;05/01/2021;487;4;9
Fiji;P030;05/01/2021;116;3;64
Russia;P029;05/01/2021;196;2;16
New Zealand;P027;05/01/2021;246;2;14
Ecuador;P011;05/01/2021;213;1;43
Mexico;P010;05/01/2021;74;4;20
Yemen;P002;05/01/2021;431;4;3
United Kingdom;P045;05/01/2021;166;3;35
Turkey;P006;05/01/2021;119;6;99
Honduras;P027;05/01/2021;236;7;86
Italy;P026;05/01/2021;557;2;92
Bolivia;P007;05/01/2021;248;9;38
Thailand;P008;05/01/2021;105;4;52
Brazil;P007;05/01/2021;288;3;56
Chile;P043;05/01/2021;210;1;79
Spain;P042;05/01/2021;427;7;68
Poland;P021;05/01/2021;425;10;52
Paraguay;P024;05/01/2021;409;10;74
Canada;P023;05/01/2021;540;6;48
Uruguay;P006;05/01/2021;277;5;83
United Kingdom;P005;05/01/2021;181;8;44
Venezuela;P043;05/01/2021;474;9;90
Iraq;P040;05/01/2021;201;3;27
Japan;P039;05/01/2021;139;4;91
Mongolia;P020;05/01/2021;62;6;25
Pakistan;P021;05/01/2021;242;1;79
Nepal;P029;05/01/2021;542;2;65
Chile;P003;05/01/2021;277;4;94
Brazil;P006;06/01/2021;174;2;95
Argentina;P041;06/01/2021;375;10;62
Spain;P041;06/01/2021;358;4;28
Fiji;P043;06/01/2021;321;7;78
Yemen;P012;06/01/2021;542;6;27
Canada;P022;06/01/2021;189;2;41
Nepal;P026;06/01/2021;238;8;2
United Kingdom;P004;06/01/2021;293;9;2
Venezuela;P042;06/01/2021;215;4;79
Iraq;P039;06/01/2021;278;10;40
Japan;P038;06/01/2021;322;1;4
Mongolia;P019;06/01/2021;122;6;20
Pakistan;P020;06/01/2021;301;4;36
Nepal;P028;06/01/2021;111;8;67
Chile;P002;06/01/2021;111;5;73
Spain;P001;06/01/2021;319;3;78
South Africa;P015;06/01/2021;289;10;83
Peru;P036;06/01/2021;370;2;85
USA;P035;06/01/2021;496;10;4
Algeria;P018;06/01/2021;74;1;76
Germany;P017;06/01/2021;444;6;66
Saudi Arabia;P004;06/01/2021;67;7;25
Ecuador;P052;06/01/2021;138;2;5
Mexico;P051;06/01/2021;247;8;71
Argentina;P003;06/01/2021;463;5;19
Indonesia;P033;06/01/2021;152;3;23
Libya;P040;06/01/2021;111;10;50
Ukraine;P015;06/01/2021;171;7;43
France;P014;06/01/2021;517;6;62
Malaysia;P028;06/01/2021;157;2;67
Thailand;P049;06/01/2021;92;2;5
Brazil;P048;06/01/2021;139;6;24
Fiji;P031;06/01/2021;60;8;21
Russia;P030;06/01/2021;69;2;89
New Zealand;P028;06/01/2021;223;8;15
Ecuador;P012;06/01/2021;259;1;67
Mexico;P011;06/01/2021;431;2;25
Yemen;P003;06/01/2021;322;9;68
United Kingdom;P046;06/01/2021;233;10;23
Turkey;P007;06/01/2021;367;2;69
Honduras;P028;06/01/2021;183;3;75
Italy;P027;06/01/2021;395;4;92
Bolivia;P008;06/01/2021;143;2;59
Thailand;P009;06/01/2021;322;8;73
Brazil;P008;06/01/2021;254;9;86
Chile;P044;06/01/2021;498;5;54
Spain;P043;06/01/2021;521;8;5
Poland;P022;06/01/2021;95;5;70
Paraguay;P025;06/01/2021;509;2;71
Canada;P024;06/01/2021;506;9;44
Uruguay;P007;06/01/2021;306;9;94
United Kingdom;P006;06/01/2021;119;3;20
Venezuela;P044;06/01/2021;68;9;23
Iraq;P041;06/01/2021;539;10;20
Japan;P040;06/01/2021;11;1;25
Mongolia;P021;06/01/2021;516;2;20
Pakistan;P022;06/01/2021;179;7;60
Nepal;P047;06/01/2021;498;9;61
Chile;P004;06/01/2021;35;6;41
Brazil;P007;07/01/2021;409;6;73
Argentina;P042;07/01/2021;352;7;40
Spain;P042;07/01/2021;82;2;86
Fiji;P044;07/01/2021;296;2;52
Yemen;P013;07/01/2021;392;7;78
Canada;P023;07/01/2021;436;8;67
Nepal;P027;07/01/2021;422;2;72
United Kingdom;P005;07/01/2021;271;5;13
Venezuela;P043;07/01/2021;306;9;20
Iraq;P040;07/01/2021;421;6;74
Japan;P039;07/01/2021;121;9;85
Mongolia;P020;07/01/2021;448;6;35
Pakistan;P021;07/01/2021;349;4;9
Nepal;P029;07/01/2021;104;6;89
Chile;P003;07/01/2021;138;8;56
Spain;P002;07/01/2021;409;6;76
South Africa;P016;07/01/2021;235;10;64
Peru;P037;07/01/2021;427;4;46
USA;P036;07/01/2021;241;5;88
Algeria;P019;07/01/2021;148;10;6
Germany;P018;07/01/2021;344;7;62
Saudi Arabia;P005;07/01/2021;393;2;7
Ecuador;P053;07/01/2021;88;9;85
Mexico;P052;07/01/2021;335;9;96
Argentina;P004;07/01/2021;128;8;90
Indonesia;P034;07/01/2021;99;5;83
Libya;P041;07/01/2021;167;3;19
Ukraine;P016;07/01/2021;187;10;28
France;P015;07/01/2021;365;8;48
Malaysia;P029;07/01/2021;278;4;42
Thailand;P050;07/01/2021;420;1;50
Brazil;P049;07/01/2021;65;5;16
Fiji;P032;07/01/2021;275;6;49
Russia;P031;07/01/2021;289;7;27
New Zealand;P029;07/01/2021;274;10;85
Ecuador;P013;07/01/2021;96;2;60
Mexico;P012;07/01/2021;125;1;90
Yemen;P004;07/01/2021;411;9;62
United Kingdom;P047;07/01/2021;251;6;57
Turkey;P008;07/01/2021;490;6;4
Honduras;P029;07/01/2021;153;7;35
Italy;P028;07/01/2021;68;6;72
Bolivia;P009;07/01/2021;185;4;96
Thailand;P010;07/01/2021;268;10;42
Brazil;P009;07/01/2021;511;10;43
Chile;P045;07/01/2021;239;10;33
Spain;P044;07/01/2021;46;3;72
Poland;P023;07/01/2021;311;4;95
Paraguay;P026;07/01/2021;15;9;44
Canada;P025;07/01/2021;26;8;91
Uruguay;P008;07/01/2021;451;2;26
United Kingdom;P007;07/01/2021;47;7;15
Venezuela;P045;07/01/2021;355;4;4
Iraq;P042;07/01/2021;62;4;14
Japan;P041;07/01/2021;583;6;1
Mongolia;P022;07/01/2021;296;2;42
Pakistan;P023;07/01/2021;308;6;74
Nepal;P048;07/01/2021;49;7;63
Chile;P005;07/01/2021;404;5;67
Brazil;P008;08/01/2021;465;7;4
Argentina;P043;08/01/2021;76;5;38
Spain;P043;08/01/2021;67;4;43
Fiji;P045;08/01/2021;52;6;94
Yemen;P014;08/01/2021;462;5;4
Canada;P024;08/01/2021;159;5;62
Nepal;P028;08/01/2021;550;9;59
United Kingdom;P006;08/01/2021;108;1;43
Venezuela;P044;08/01/2021;185;10;63
Iraq;P041;08/01/2021;470;6;49
Japan;P040;08/01/2021;271;5;10
Mongolia;P021;08/01/2021;365;4;92
Pakistan;P022;08/01/2021;281;7;10
Nepal;P047;08/01/2021;181;4;4
Chile;P004;08/01/2021;74;5;51
Spain;P003;08/01/2021;424;4;16
South Africa;P017;08/01/2021;278;9;98
Peru;P038;08/01/2021;427;9;65
USA;P037;08/01/2021;306;10;44
Algeria;P020;08/01/2021;222;10;12
Germany;P019;08/01/2021;374;2;62
Saudi Arabia;P006;08/01/2021;133;1;32
Iraq;P001;08/01/2021;290;9;21
Mexico;P053;08/01/2021;314;5;79
Argentina;P005;08/01/2021;384;10;5
Indonesia;P035;08/01/2021;96;2;68
Libya;P042;08/01/2021;259;5;16
Ukraine;P017;08/01/2021;227;8;14
France;P016;08/01/2021;355;1;11
Malaysia;P030;08/01/2021;594;6;38
Thailand;P051;08/01/2021;236;3;20
Brazil;P050;08/01/2021;80;4;41
Fiji;P033;08/01/2021;107;3;15
Russia;P032;08/01/2021;55;4;63
New Zealand;P030;08/01/2021;57;5;46
Ecuador;P014;08/01/2021;261;6;65
Mexico;P013;08/01/2021;86;4;61
Yemen;P005;08/01/2021;174;1;26
United Kingdom;P048;08/01/2021;249;10;51
Turkey;P040;08/01/2021;493;7;21
Honduras;P030;08/01/2021;193;7;28
Italy;P029;08/01/2021;29;8;84
Bolivia;P010;08/01/2021;238;6;19
Thailand;P011;08/01/2021;268;5;58
Brazil;P010;08/01/2021;287;5;48
Chile;P046;08/01/2021;252;2;57
Spain;P045;08/01/2021;338;6;31
Poland;P024;08/01/2021;392;7;68
Paraguay;P027;08/01/2021;357;10;12
Canada;P026;08/01/2021;522;6;67
Uruguay;P009;08/01/2021;597;8;34
United Kingdom;P008;08/01/2021;586;7;48
Venezuela;P046;08/01/2021;408;1;19
Iraq;P043;08/01/2021;361;8;11
Japan;P042;08/01/2021;502;7;29
Mongolia;P023;08/01/2021;297;5;59
Pakistan;P024;08/01/2021;52;2;15
Nepal;P049;08/01/2021;392;2;90
Chile;P006;08/01/2021;280;3;84
Brazil;P011;11/01/2021;240;10;79
Argentina;P046;11/01/2021;480;3;2
Spain;P046;11/01/2021;426;3;42
Fiji;P048;11/01/2021;362;1;41
Yemen;P017;11/01/2021;321;7;89
Canada;P027;11/01/2021;584;7;29
Nepal;P048;11/01/2021;253;6;50
United Kingdom;P009;11/01/2021;369;4;6
Venezuela;P047;11/01/2021;116;9;22
Iraq;P044;11/01/2021;419;6;79
Japan;P043;11/01/2021;419;10;91
Mongolia;P024;11/01/2021;318;8;38
Pakistan;P025;11/01/2021;128;1;18
Nepal;P050;11/01/2021;149;3;84
Chile;P007;11/01/2021;138;3;6
Spain;P006;11/01/2021;312;10;97
South Africa;P020;11/01/2021;237;6;73
Peru;P041;11/01/2021;240;8;18
USA;P040;11/01/2021;361;1;76
Algeria;P023;11/01/2021;127;9;100
Germany;P022;11/01/2021;100;8;7
Saudi Arabia;P009;11/01/2021;92;6;57
Iraq;P004;11/01/2021;322;10;41
Japan;P003;11/01/2021;128;5;77
Argentina;P008;11/01/2021;86;6;68
Indonesia;P038;11/01/2021;308;4;56
Libya;P045;11/01/2021;131;3;92
Ukraine;P020;11/01/2021;308;8;24
France;P019;11/01/2021;197;4;40
Malaysia;P033;11/01/2021;173;3;36
Peru;P001;11/01/2021;76;3;74
Brazil;P053;11/01/2021;457;6;75
Fiji;P036;11/01/2021;231;3;83
Russia;P035;11/01/2021;491;1;75
Nicaragua;P001;11/01/2021;103;2;12
Ecuador;P017;11/01/2021;73;2;54
Mexico;P016;11/01/2021;119;1;16
Yemen;P008;11/01/2021;329;10;31
United Kingdom;P051;11/01/2021;213;4;48
Turkey;P043;11/01/2021;190;5;98
Honduras;P033;11/01/2021;269;8;9
Italy;P032;11/01/2021;169;6;37
Bolivia;P028;11/01/2021;193;4;88
Thailand;P014;11/01/2021;441;5;26
Brazil;P013;11/01/2021;170;7;12
Chile;P049;11/01/2021;261;7;6
Spain;P048;11/01/2021;471;8;27
Poland;P027;11/01/2021;398;4;40
Paraguay;P030;11/01/2021;171;1;53
Canada;P029;11/01/2021;16;2;15
Uruguay;P012;11/01/2021;315;3;17
United Kingdom;P011;11/01/2021;270;3;20
Venezuela;P049;11/01/2021;343;7;6
Iraq;P046;11/01/2021;293;4;32
Japan;P045;11/01/2021;506;3;53
Mongolia;P026;11/01/2021;133;7;24
Pakistan;P027;11/01/2021;147;8;96
Nepal;P052;11/01/2021;267;9;80
Chile;P009;11/01/2021;509;5;88
Brazil;P012;12/01/2021;150;6;49
Argentina;P047;12/01/2021;530;4;72
Spain;P047;12/01/2021;552;9;76
Fiji;P049;12/01/2021;547;10;65
Yemen;P018;12/01/2021;444;1;11
Canada;P028;12/01/2021;298;6;64
Nepal;P049;12/01/2021;365;3;86
United Kingdom;P010;12/01/2021;388;8;15
Venezuela;P048;12/01/2021;144;9;89
Iraq;P045;12/01/2021;363;6;85
Japan;P044;12/01/2021;280;5;25
Mongolia;P025;12/01/2021;308;6;64
Pakistan;P026;12/01/2021;145;10;51
Nepal;P051;12/01/2021;411;10;34
Chile;P008;12/01/2021;99;2;23
Spain;P007;12/01/2021;161;8;8
South Africa;P021;12/01/2021;175;5;31
Peru;P042;12/01/2021;386;3;68
USA;P041;12/01/2021;457;8;66
Algeria;P024;12/01/2021;126;5;77
Germany;P023;12/01/2021;128;5;5
Saudi Arabia;P010;12/01/2021;480;3;18
Iraq;P005;12/01/2021;91;9;20
Japan;P004;12/01/2021;411;6;47
Argentina;P009;12/01/2021;182;3;54
Indonesia;P039;12/01/2021;257;10;83
Libya;P046;12/01/2021;63;10;60
Ukraine;P021;12/01/2021;157;1;78
France;P020;12/01/2021;362;2;72
Malaysia;P034;12/01/2021;188;3;7
Peru;P002;12/01/2021;155;6;45
USA;P001;12/01/2021;138;9;1
Fiji;P037;12/01/2021;137;3;80
Russia;P036;12/01/2021;314;6;87
Nicaragua;P002;12/01/2021;143;3;16
Ecuador;P018;12/01/2021;193;4;89
Mexico;P017;12/01/2021;385;6;56
Yemen;P009;12/01/2021;377;9;26
United Kingdom;P052;12/01/2021;214;10;48
Turkey;P044;12/01/2021;343;6;53
Honduras;P034;12/01/2021;94;5;50
Italy;P033;12/01/2021;163;6;4
Bolivia;P029;12/01/2021;83;1;58
Thailand;P015;12/01/2021;299;5;53
Brazil;P014;12/01/2021;583;1;74
Chile;P050;12/01/2021;560;2;15
Spain;P049;12/01/2021;517;3;52
Poland;P028;12/01/2021;199;8;88
Paraguay;P031;12/01/2021;339;10;50
Canada;P030;12/01/2021;559;8;2
Uruguay;P013;12/01/2021;173;6;47
United Kingdom;P012;12/01/2021;346;1;5
Venezuela;P050;12/01/2021;173;2;37
Iraq;P047;12/01/2021;265;6;55
Japan;P046;12/01/2021;268;10;10
Mongolia;P027;12/01/2021;173;5;26
Pakistan;P028;12/01/2021;315;3;48
Nepal;P053;12/01/2021;555;4;87
Chile;P010;12/01/2021;381;6;59
Brazil;P013;13/01/2021;319;10;93
Argentina;P048;13/01/2021;364;7;15
Spain;P048;13/01/2021;450;6;35
Fiji;P050;13/01/2021;310;7;68
Yemen;P019;13/01/2021;580;10;20
Canada;P029;13/01/2021;436;9;73
Nepal;P050;13/01/2021;338;10;72
United Kingdom;P011;13/01/2021;498;5;17
Venezuela;P049;13/01/2021;414;5;62
Iraq;P046;13/01/2021;479;5;82
Japan;P045;13/01/2021;244;1;61
Mongolia;P026;13/01/2021;422;6;1
Pakistan;P027;13/01/2021;328;9;8
Nepal;P052;13/01/2021;175;10;73
Chile;P009;13/01/2021;75;6;87
Spain;P008;13/01/2021;389;10;22
South Africa;P022;13/01/2021;184;6;84
Peru;P043;13/01/2021;385;4;91
USA;P042;13/01/2021;206;10;77
Algeria;P025;13/01/2021;136;7;40
Germany;P024;13/01/2021;460;10;78
Saudi Arabia;P011;13/01/2021;155;10;81
Iraq;P006;13/01/2021;355;9;12
Japan;P005;13/01/2021;60;2;96
Argentina;P010;13/01/2021;82;9;46
Indonesia;P040;13/01/2021;196;7;80
Libya;P047;13/01/2021;104;7;34
Ukraine;P022;13/01/2021;212;7;57
France;P021;13/01/2021;186;10;21
Malaysia;P035;13/01/2021;274;5;72
Peru;P003;13/01/2021;359;8;61
USA;P002;13/01/2021;464;1;65
Fiji;P038;13/01/2021;206;3;80
Russia;P037;13/01/2021;181;7;76
Nicaragua;P003;13/01/2021;161;6;44
Ecuador;P019;13/01/2021;72;6;63
Mexico;P018;13/01/2021;211;1;87
Yemen;P010;13/01/2021;351;10;70
United Kingdom;P053;13/01/2021;343;2;64
Turkey;P045;13/01/2021;207;6;45
Honduras;P035;13/01/2021;140;9;92
Italy;P034;13/01/2021;225;1;100
Bolivia;P030;13/01/2021;132;7;28
Thailand;P016;13/01/2021;478;6;94
Brazil;P015;13/01/2021;451;6;57
Chile;P051;13/01/2021;391;9;36
Spain;P050;13/01/2021;488;9;10
Poland;P029;13/01/2021;462;8;48
Paraguay;P032;13/01/2021;454;10;64
Canada;P031;13/01/2021;499;5;87
Uruguay;P014;13/01/2021;146;4;53
United Kingdom;P013;13/01/2021;556;1;96
Venezuela;P051;13/01/2021;468;7;42
Iraq;P048;13/01/2021;12;1;21
Japan;P047;13/01/2021;410;9;77
Mongolia;P028;13/01/2021;205;10;78
Pakistan;P029;13/01/2021;599;3;77
Tanzania;P020;13/01/2021;160;4;45
Chile;P011;13/01/2021;180;3;27
Brazil;P014;14/01/2021;383;2;50
Argentina;P049;14/01/2021;352;7;80
Spain;P049;14/01/2021;504;7;70
Fiji;P051;14/01/2021;432;6;36
Yemen;P020;14/01/2021;409;10;14
Canada;P030;14/01/2021;498;8;64
Nepal;P051;14/01/2021;197;7;76
United Kingdom;P012;14/01/2021;220;1;65
Venezuela;P050;14/01/2021;128;1;32
Iraq;P047;14/01/2021;326;2;86
Japan;P046;14/01/2021;167;6;16
Mongolia;P027;14/01/2021;178;6;20
Pakistan;P028;14/01/2021;112;9;23
Nepal;P053;14/01/2021;133;10;88
Chile;P010;14/01/2021;274;10;58
Spain;P009;14/01/2021;589;10;40
South Africa;P023;14/01/2021;183;5;94
Peru;P044;14/01/2021;213;9;25
USA;P043;14/01/2021;329;2;26
Algeria;P026;14/01/2021;189;1;50
Germany;P025;14/01/2021;357;3;59
Saudi Arabia;P012;14/01/2021;344;5;52
Iraq;P007;14/01/2021;78;9;10
Japan;P006;14/01/2021;360;10;95
Argentina;P011;14/01/2021;213;1;10
Indonesia;P041;14/01/2021;299;5;64
Libya;P048;14/01/2021;151;10;18
Ukraine;P023;14/01/2021;151;4;68
France;P022;14/01/2021;422;7;57
Malaysia;P036;14/01/2021;192;1;43
Peru;P004;14/01/2021;393;1;3
USA;P003;14/01/2021;282;9;95
Fiji;P039;14/01/2021;247;9;64
Russia;P038;14/01/2021;325;2;39
Nicaragua;P004;14/01/2021;271;10;19
Ecuador;P020;14/01/2021;113;7;21
Mexico;P019;14/01/2021;182;10;91
Yemen;P011;14/01/2021;280;4;35
Indonesia;P001;14/01/2021;330;2;51
Turkey;P046;14/01/2021;437;1;62
Honduras;P036;14/01/2021;232;2;93
Italy;P035;14/01/2021;146;8;9
Bolivia;P031;14/01/2021;138;3;63
Thailand;P017;14/01/2021;599;9;39
Brazil;P016;14/01/2021;196;6;50
Chile;P052;14/01/2021;280;2;26
Spain;P051;14/01/2021;217;8;66
Poland;P030;14/01/2021;76;4;82
Paraguay;P033;14/01/2021;317;7;14
Canada;P032;14/01/2021;334;8;18
Uruguay;P015;14/01/2021;195;3;54
United Kingdom;P014;14/01/2021;504;3;83
Venezuela;P052;14/01/2021;104;1;65
Iraq;P049;14/01/2021;459;10;86
Japan;P048;14/01/2021;35;1;36
Mongolia;P029;14/01/2021;388;3;7
Pakistan;P030;14/01/2021;335;7;85
Tanzania;P021;14/01/2021;288;1;45
Chile;P012;14/01/2021;232;8;45
Brazil;P015;15/01/2021;538;5;56
Argentina;P050;15/01/2021;581;5;15
Spain;P050;15/01/2021;292;3;83
Fiji;P052;15/01/2021;58;3;33
Yemen;P021;15/01/2021;179;1;48
Canada;P031;15/01/2021;213;10;86
Nepal;P052;15/01/2021;380;7;98
United Kingdom;P013;15/01/2021;498;10;45
Venezuela;P051;15/01/2021;257;4;1
Iraq;P048;15/01/2021;235;9;78
Japan;P047;15/01/2021;254;5;18
Mongolia;P028;15/01/2021;370;2;28
Pakistan;P029;15/01/2021;441;8;17
Tanzania;P020;15/01/2021;180;10;87
Chile;P011;15/01/2021;254;7;59
Spain;P010;15/01/2021;569;4;21
South Africa;P024;15/01/2021;54;6;46
Peru;P045;15/01/2021;338;3;32
USA;P044;15/01/2021;383;2;79
Algeria;P027;15/01/2021;152;3;83
Germany;P026;15/01/2021;258;9;23
Saudi Arabia;P013;15/01/2021;465;8;44
Iraq;P008;15/01/2021;96;8;61
Japan;P007;15/01/2021;197;8;66
Argentina;P012;15/01/2021;456;3;75
Indonesia;P042;15/01/2021;372;6;48
Libya;P049;15/01/2021;188;3;82
Ukraine;P024;15/01/2021;444;6;3
France;P023;15/01/2021;201;3;49
Malaysia;P037;15/01/2021;579;3;86
Peru;P005;15/01/2021;287;7;15
USA;P004;15/01/2021;173;3;41
Fiji;P040;15/01/2021;199;6;22
Russia;P039;15/01/2021;212;7;31
Nicaragua;P005;15/01/2021;146;5;72
Ecuador;P021;15/01/2021;138;7;79
Mexico;P020;15/01/2021;308;8;48
Yemen;P012;15/01/2021;183;10;14
Indonesia;P002;15/01/2021;345;7;65
Turkey;P047;15/01/2021;283;6;91
Honduras;P037;15/01/2021;235;2;80
Italy;P036;15/01/2021;10;2;63
Bolivia;P032;15/01/2021;259;5;77
Thailand;P018;15/01/2021;371;8;46
Brazil;P017;15/01/2021;206;2;74
Chile;P053;15/01/2021;430;3;56
Spain;P052;15/01/2021;400;3;65
Poland;P031;15/01/2021;155;4;20
Paraguay;P034;15/01/2021;170;2;31
Canada;P033;15/01/2021;127;10;30
Uruguay;P016;15/01/2021;120;5;90
United Kingdom;P015;15/01/2021;452;10;100
Venezuela;P053;15/01/2021;166;8;4
Iraq;P050;15/01/2021;582;4;13
Japan;P049;15/01/2021;97;2;74
Mongolia;P030;15/01/2021;157;1;5
Pakistan;P031;15/01/2021;99;2;33
Tanzania;P022;15/01/2021;269;6;40
Chile;P013;15/01/2021;552;7;13
Brazil;P018;18/01/2021;232;3;12
Argentina;P053;18/01/2021;131;1;17
Spain;P053;18/01/2021;201;8;19
Honduras;P002;18/01/2021;103;4;22
Yemen;P024;18/01/2021;201;7;71
Canada;P034;18/01/2021;342;5;73
Argentina;P002;18/01/2021;177;9;72
United Kingdom;P016;18/01/2021;240;2;24
Cuba;P030;18/01/2021;35;4;47
Iraq;P051;18/01/2021;406;6;89
Japan;P050;18/01/2021;435;7;16
Mongolia;P031;18/01/2021;310;4;54
Pakistan;P032;18/01/2021;169;4;63
